Species;Family;Order;Class;Phylum;Kingdom
Anoplophora chinensis;Cerambycidae;Coleoptera;Insecta;Arthropoda;Animalia
Anoplophora glabripennis;Cerambycidae;Coleoptera;Insecta;Arthropoda;Animalia
Anredera cordifolia;Basellaceae;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Anser anser;Anatidae;Anseriformes;Aves;Chordata;Animalia
Anthonomus grandis;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia
Antidesma bunias;Euphorbiaceae;Euphorbiales;Magnoliopsida;Magnoliophyta;Plantae
Antigonon leptopus;Pontederiaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Aphanomyces astaci;Saprolegniaceae;Saprolegniales;Phycomycota;Myxomycota;Fungi
Apis mellifera scutellata;Apiidae;Hymenoptera;Insecta;Arthropoda;Animalia
Archontophoenix cunninghamiana;Arecaceae;Arecales;Liliopsida;Magnoliophyta;Plantae
Ardisia acuminata;Myrsinaceae;Primulales;Magnoliopsida;Magnoliophyta;Plantae
Ardisia crenata;Myrsinaceae;Primulales;Magnoliopsida;Magnoliophyta;Plantae
Ardisia elliptica;Myrsinaceae;Primulales;Magnoliopsida;Magnoliophyta;Plantae
Arundo donax;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Ascidiella aspersa;Ascidiidae;Enterogona;Ascidiacea;Chordata;Animalia
Asparagus densiflorus;Liliaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Asparagus officinalis;Liliaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Asterias amurensis;Asteriidae;Forcipulatida;Asteroidea;Echinodermata;Animalia
Asystasia gangetica;Acanthaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Aulacaspis yasumatsui;Diaspididae;Hemiptera;Insecta;Arthropoda;Animalia
Austroeupatorium inulifolium;Eupatorieae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Axis axis;Cervidae;Artiodactyla;Mammalia;Chordata;Animalia
Azolla pinnata;Azollaceae;Hydropteridales;Filicopsida;Pteridophyta;Plantae
Bacopa monnieri;Scrophulariaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Bactrocera tryoni;Tephritidae;Diptera;Insecta;Arthropoda;Animalia
Bambusa vulgaris;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Batillaria attramentaria;Batillariidae;Neotaenioglossa;Gastropoda;Mollusca;Animalia
Begonia cucullata;Begoniaceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Bellis perennis;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Bemisia tabaci;Aleyrodidae;Homoptera;Insecta;Arthropoda;Animalia
Berberis buxifolia;Berberidaceae;Ranunculales;Magnoliopsida;Magnoliophyta;Plantae
Berberis darwinii;Berberidaceae;Ranunculales;Magnoliopsida;Magnoliophyta;Plantae
Berberis thunbergii;Berberidaceae;Ranunculales;Magnoliopsida;Magnoliophyta;Plantae
Bidens pilosa;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Boa constrictor imperator;Boidae;Squamata;Reptilia;Chordata;Animalia
Boehmeria penduliflora;Urticaceae;Urticales;Magnoliopsida;Magnoliophyta;Plantae
Boiga irregularis;Colubridae;Squamata;Reptilia;Chordata;Animalia
Boonea bisuturalis;Pyrmidellidae;Heterostropha;Gastropoda;Mollusca;Animalia
Bos taurus;Bovidae;Artiodactyla;Mammalia;Chordata;Animalia
Bothriochloa pertusa;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Bradypus variegatus;Bradypodidae;Pilosa;Mammalia;Chordata;Animalia
Branta canadensis;Anatidae;Anseriformes;Aves;Chordata;Animalia
Brassica elongata;Brassicaceae;Capparales;Magnoliopsida;Magnoliophyta;Plantae
Brassica tournefortii;Brassicaceae;Capparales;Magnoliopsida;Magnoliophyta;Plantae
Bromus inermis;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Bromus rubens;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Bromus tectorum;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Brontispa longissima;Chrysomelidae;Coleoptera;Insecta;Arthropoda;Animalia
Bubalus bubalis;Bovidae;Artiodactyla;Mammalia;Chordata;Animalia
Bubo virginianus;Strigidae;Strigiformes;Aves;Chordata;Animalia
Bubulcus ibis;Ardeidae;Ciconiiformes;Aves;Chordata;Animalia
Buddleja davidii;Buddlejaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Buddleja madagascariensis;Buddlejaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Bugula neritina;Bugulidae;Cheilostomata;Gymnolaemata;Ectoprocta;Animalia
Bursaphelenchus xylophilus;Aphelenchidae;Aphelenchida;Secernentea;Nemata;Animalia
Butomus umbellatus;Butomaceae;Alismatales;Liliopsida;Magnoliophyta;Plantae
Bythotrephes longimanus;Cercopagidae;Diplostraca;Branchiopoda;Arthropoda;Animalia
Cabomba caroliniana;Cabombaceae;Nymphaeales;Magnoliopsida;Magnoliophyta;Plantae
Cactoblastis cactorum;Pyralidae;Lepidoptera;Insecta;Arthropoda;Animalia
Caesalpinia decapetala;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Caiman crocodilus;Alligatoridae;Crocodilia;Reptilia;Chordata;Animalia
Calliphora vicina;Calliphoridae;Diptera;Insecta;Arthropoda;Animalia
Callithrix geoffroyi;Callitrichidae;Primates;Mammalia;Chordata;Animalia
Callithrix jacchus;Callitrichidae;Primates;Mammalia;Chordata;Animalia
Callithrix penicillata;Callitrichidae;Primates;Mammalia;Chordata;Animalia
Calluna vulgaris;Ericaceae;Ericales;Magnoliopsida;Magnoliophyta;Plantae
Camelina sativa;Brassicaceae;Capparales;Magnoliopsida;Magnoliophyta;Plantae
Camelus dromedarius;Camelidae;Artiodactyla;Mammalia;Chordata;Animalia
Candidatus Liberibacter africanus;Rhizobiaceae;Rhizobiales;Alphaproteobacteria;Proteobacteria;Monera
Candidatus Liberibacter americanus;Rhizobiaceae;Rhizobiales;Alphaproteobacteria;Proteobacteria;Monera
Candidatus Liberibacter asiaticus;Rhizobiaceae;Rhizobiales;Alphaproteobacteria;Proteobacteria;Monera
Canis latrans;Canidae;Carnivora;Mammalia;Chordata;Animalia
Canis lupus;Canidae;Carnivora;Mammalia;Chordata;Animalia
Canna indica;Cannaceae;Zingiberales;Liliopsida;Magnoliophyta;Plantae
Capra hircus;Bovidae;Artiodactyla;Mammalia;Chordata;Animalia
Carassius auratus;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Carcinus maenas;Portunidae;Decapoda;Malacostraca;Arthropoda;Animalia
Cardamine flexuosa;Brassicaceae;Capparales;Magnoliopsida;Magnoliophyta;Plantae
Cardamine glacialis;Brassicaceae;Capparales;Magnoliopsida;Magnoliophyta;Plantae
Cardiospermum grandiflorum;Sapindaceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Carduus nutans;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Carijoa riisei;Clavulariidae;Alcyonacea;Anthozoa;Cnidaria;Animalia
Carpobrotus edulis;Aizoaceae;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Carpodacus mexicanus;Fringillidae;Passeriformes;Aves;Chordata;Animalia
Castilla elastica;Moraceae;Urticales;Magnoliopsida;Magnoliophyta;Plantae
Castor canadensis;Castoridae;Rodentia;Mammalia;Chordata;Animalia
Casuarina equisetifolia;Casuarinaceae;Casuarinales;Magnoliopsida;Magnoliophyta;Plantae
Caulerpa taxifolia;Caulerpaceae;Caulerpales;Chlorophyceae;Chlorophyta;Plantae
Caulerpa webbiana;Caulerpaceae;Caulerpales;Chlorophyceae;Chlorophyta;Plantae
Cavia porcellus;Caviidae;Rodentia;Mammalia;Chordata;Animalia
Cecropia peltata;Cecropiaceae;Urticales;Magnoliopsida;Magnoliophyta;Plantae
Cecropia schreberiana;Cecropiaceae;Urticales;Magnoliopsida;Magnoliophyta;Plantae
Cedrela odorata;Meliaceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Celastrus orbiculatus;Celastraceae;Celastrales;Magnoliopsida;Magnoliophyta;Plantae
Cenchrus ciliaris;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Cenchrus clandestinus;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Cenchrus echinatus;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Cenchrus macrourus;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Cenchrus polystachios;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Cenchrus setaceus;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Centaurea biebersteinii;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Centaurea diffusa;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Centaurea melitensis;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Centaurea solstitialis;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Cerastium fontanum;Caryophyllaceae;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Ceratitis capitata;Tephritidae;Diptera;Insecta;Arthropoda;Animalia
Ceratocystis platani;Ceratocystidaceae;Microascales;Sordariomycetes;Ascomycota;Fungi
Ceratophyllum demersum;Ceratophyllaceae;Nymphaeales;Magnoliopsida;Magnoliophyta;Plantae
Ceratostoma inornatum;Muricidae;Neogastropoda;Gastropoda;Mollusca;Animalia
Cercopagis pengoi;Cercopagidae;Diplostraca;Branchiopoda;Arthropoda;Animalia
Cercopithecus mona;Cercopithecidae;Primates;Mammalia;Chordata;Animalia
Cervus elaphus;Cervidae;Artiodactyla;Mammalia;Chordata;Animalia
Cervus elaphus subsp. canadensis;Cervidae;Artiodactyla;Mammalia;Chordata;Animalia
Cervus nippon;Cervidae;Artiodactyla;Mammalia;Chordata;Animalia
Cervus timorensis russa;Cervidae;Artiodactyla;Mammalia;Chordata;Animalia
Cestrum nocturnum;Solanaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Cestrum parqui;Solanaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Chamaeleo jacksonii;Chamaeleonidae;Squamata;Reptilia;Chordata;Animalia
Channa argus;Channidae;Perciformes;Actinopterygii;Chordata;Animalia
Channa marulius;Channidae;Perciformes;Actinopterygii;Chordata;Animalia
Charybdis hellerii;Portunidae;Decapoda;Malacostraca;Arthropoda;Animalia
Charybdis japonica;Portunidae;Decapoda;Malacostraca;Arthropoda;Animalia
Chromolaena odorata;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Chrysanthemoides monilifera;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Chrysobalanus icaco;Chrysobalanaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Chthamalus proteus;Chthamalidae;Sessilia;Maxillopoda;Arthropoda;Animalia
Cichla ocellaris;Cichlidae;Perciformes;Actinopterygii;Chordata;Animalia
Cichlasoma urophthalmus;Cichlidae;Perciformes;Actinopterygii;Chordata;Animalia
Cinara cupressi;Aphididae;Homoptera;Insecta;Arthropoda;Animalia
Cinchona pubescens;Rubiaceae;Rubiales;Magnoliopsida;Magnoliophyta;Plantae
Cinnamomum camphora;Lauraceae;Laurales;Magnoliopsida;Magnoliophyta;Plantae
Cinnamomum verum;Lauraceae;Laurales;Magnoliopsida;Magnoliophyta;Plantae
Ciona intestinalis;Cionidae;Enterogona;Ascidiacea;Chordata;Animalia
Cipangopaludina chinensis;Viviparidae;Architaenioglossa;Gastropoda;Mollusca;Animalia
Circus approximans;Accipitridae;Ciconiiformes;Aves;Chordata;Animalia
Cirsium arvense;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Cirsium vulgare;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Citharexylum spinosum;Verbenaceae;Lamiales;Magnoliopsida;Magnoliophyta;Plantae
Civettictis civetta;Viverridae;Carnivora;Mammalia;Chordata;Animalia
Clarias batrachus;Clariidae;Siluriformes;Actinopterygii;Chordata;Animalia
Clematis terniflora;Ranunculaceae;Ranunculales;Magnoliopsida;Magnoliophyta;Plantae
Clematis vitalba;Ranunculaceae;Ranunculales;Magnoliopsida;Magnoliophyta;Plantae
Clidemia hirta;Melastomataceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Coccinia grandis;Cucurbitaceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Codium fragile ssp. tomentosoides;Codiaceae;Bryopsidales;Chlorophyceae;Chlorophyta;Plantae
Colubrina asiatica;Rhamnaceae;Rhamnales;Magnoliopsida;Magnoliophyta;Plantae
Columba livia;Columbidae;Columbiformes;Aves;Chordata;Animalia
Commelina benghalensis;Commelinaceae;Commelinales;Liliopsida;Magnoliophyta;Plantae
Conyza floribunda;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Coptotermes formosanus;Rhinotermitidae;Isoptera;Insecta;Arthropoda;Animalia
Corbicula fluminea;Corbiculidae;Veneroida;Bivalvia;Mollusca;Animalia
Coronilla varia;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Cortaderia jubata;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Cortaderia selloana;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Corvus splendens;Corvidae;Passeriformes;Aves;Chordata;Animalia
Cotinus coggygria;Anacardiaceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Crassostrea gigas;Ostreidae;Ostreoida;Bivalvia;Mollusca;Animalia
Crassula helmsii;Crassulaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Crepidula fornicata;Calyptraeidae;Neotaenioglossa;Gastropoda;Mollusca;Animalia
Cricetomys gambianus;Muridae;Rodentia;Mammalia;Chordata;Animalia
Crocidura suaveolens;Soricidae;Insectivora;Mammalia;Chordata;Animalia
Cronartium ribicola;Cronartiaceae;Uredinales;Teliomycetes;Basidiomycota;Fungi
Cryphonectria parasitica;Valsaceae;Diaporthales;Sordariomycetes;Ascomycota;Fungi
Cryptococcus fagisuga;Eriococcidae;Hemiptera;Insecta;Arthropoda;Animalia
Cryptostegia grandiflora;Asclepiadaceae;Gentianales;Magnoliopsida;Magnoliophyta;Plantae
Cryptostegia madagascariensis;Asclepiadaceae;Gentianales;Magnoliopsida;Magnoliophyta;Plantae
Ctenopharyngodon idella;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Ctenosaura similis;Iguanidae;Squamata;Reptilia;Chordata;Animalia
Cupaniopsis anacardioides;Sapindaceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Cuphea ignea;Lythraceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Cyathea cooperi;Cyatheaceae;Polypodiales;Filicopsida;Pteridophyta;Plantae
Cygnus olor;Anatidae;Anseriformes;Aves;Chordata;Animalia
Cylindroiulus latestriatus;Julidae;Julida;Diplopoda;Arthropoda;Animalia
Cynanchum rossicum;Asclepiadaceae;Gentianales;Magnoliopsida;Magnoliophyta;Plantae
Cynara cardunculus;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Cynictis penicillata;Herpestidae;Carnivora;Mammalia;Chordata;Animalia
Cynodon dactylon;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Cynoglossum officinale;Boraginaceae;Lamiales;Magnoliopsida;Magnoliophyta;Plantae
Cyperus rotundus;Cyperaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Cyprinella lutrensis;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Cyprinus carpio;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Cytisus scoparius;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Cytisus striatus;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Dactylis glomerata;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Dalbergia sissoo;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Delairea odorata;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Dendrobaena octaedra;Lumbricidae;Haplotaxida;Clitellata;Annelida;Animalia
Dendroctonus valens;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia
Dendrodrilus rubidus;Lumbricidae;Haplotaxida;Clitellata;Annelida;Animalia
Dendrolimus sibiricus;Lasiocampidae;Lepidoptera;Insecta;Arthropoda;Animalia
Deroceras panormitanum;Spiraxidae;Stylommatophora;Gastropoda;Mollusca;Animalia
Diaphorina citri;Psyllidae;Hemiptera;Insecta;Arthropoda;Animalia
Dichrostachys cinerea;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Didemnum spp.;Didemnidae;Enterogona;Ascidiacea;Chordata;Animalia
Didymosphenia geminata;Gomphonemataceae;Cymbellales;Bacillariophyceae;Bacillariophyta;Plantae
Dioscorea bulbifera;Dioscoreaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Dioscorea oppositifolia;Dioscoreaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Dipogon lignosus;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Discula destructiva;Gnomoniaceae;Diaporthales;Sordariomycetes;Ascomycota;Fungi
Dreissena bugensis;Dreissenidae;Veneroida;Bivalvia;Mollusca;Animalia
Dreissena polymorpha;Dreissenidae;Veneroida;Bivalvia;Mollusca;Animalia
Duchesnea indica;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Dysdera crocata;Dysderidae;Araneae;Arachnida;Arthropoda;Animalia
Dyssodia tenuiloba;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Egeria densa;Hydrocharitaceae;Hydrocharitales;Liliopsida;Magnoliophyta;Plantae
Eichhornia crassipes;Pontederiaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Elaeagnus angustifolia;Elaeagnaceae;Rhamnales;Magnoliopsida;Magnoliophyta;Plantae
Elaeagnus pungens;Elaeagnaceae;Rhamnales;Magnoliopsida;Magnoliophyta;Plantae
Elaeagnus umbellata;Elaeagnaceae;Rhamnales;Magnoliopsida;Magnoliophyta;Plantae
Elaeis guineensis;Arecaceae;Arecales;Liliopsida;Magnoliophyta;Plantae
Elaphe guttata;Colubridae;Squamata;Reptilia;Chordata;Animalia
Elephantopus mollis;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Elettaria cardamomum;Zingiberaceae;Zingiberales;Liliopsida;Magnoliophyta;Plantae
Eleutherodactylus coqui;Leptodactylidae;Anura;Amphibia;Chordata;Animalia
Eleutherodactylus johnstonei;Leptodactylidae;Anura;Amphibia;Chordata;Animalia
Eleutherodactylus planirostris;Leptodactylidae;Anura;Amphibia;Chordata;Animalia
Elminius modestus;Balanidae;Sessilia;Maxillopoda;Arthropoda;Animalia
Elodea canadensis;Hydrocharitaceae;Hydrocharitales;Liliopsida;Magnoliophyta;Plantae
Epipremnum pinnatum;Araceae;Arales;Liliopsida;Magnoliophyta;Plantae
Equus asinus;Equidae;Perissodactyla;Mammalia;Chordata;Animalia
Equus caballus;Equidae;Perissodactyla;Mammalia;Chordata;Animalia
Erigeron karvinskianus;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Erinaceus europaeus;Erinaceidae;Lipotyphla;Mammalia;Chordata;Animalia
Eriobotrya japonica;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Eriocheir sinensis;Grapsidae;Decapoda;Malacostraca;Arthropoda;Animalia
Erodium cicutarium;Geraniaceae;Geraniales;Magnoliopsida;Magnoliophyta;Plantae
Erythrocebus patas;Cercopithecidae;Primates;Mammalia;Chordata;Animalia
Esox lucius;Esocidae;Esociformes;Actinopterygii;Chordata;Animalia
Estrilda astrild;Estrildidae;Passeriformes;Aves;Chordata;Animalia
Eugenia uniflora;Myrtaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Euglandina rosea;Spiraxidae;Stylommatophora;Gastropoda;Mollusca;Animalia
Euonymus alata;Celastraceae;Celastrales;Magnoliopsida;Magnoliophyta;Plantae
Euonymus fortunei;Celastraceae;Celastrales;Magnoliopsida;Magnoliophyta;Plantae
Eupatorium cannabinum;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Euphorbia esula;Euphorbiaceae;Euphorbiales;Magnoliopsida;Magnoliophyta;Plantae
Euryops multifidus;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Falcataria moluccana;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Felis catus;Felidae;Carnivora;Mammalia;Chordata;Animalia
Ficopomatus enigmaticus;Serpulidae;Canalipalpata;Polychaeta;Annelida;Animalia
Ficus microcarpus;Moraceae;Urticales;Magnoliopsida;Magnoliophyta;Plantae
Ficus rubiginosa;Moraceae;Urticales;Magnoliopsida;Magnoliophyta;Plantae
Flacourtia indica;Flacourtiaceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Flemingia strobilifera;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Fragaria vesca;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Frangula alnus;Rhamnaceae;Rhamnales;Magnoliopsida;Magnoliophyta;Plantae
Fraxinus floribunda;Oleaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Fuchsia boliviana;Onagraceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Fuchsia magellanica;Onagraceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Funtumia elastica;Apocynaceae;Gentianales;Magnoliopsida;Magnoliophyta;Plantae
